window_idx,sample_idx,raw_ir,reconstructed_ir,abs_error
9,38,77801.000000,77828.733548,27.733548
9,39,77802.000000,77835.919862,33.919862
9,40,77806.000000,77843.371052,37.371052
9,41,77804.000000,77840.140591,36.140591
9,42,77803.000000,77853.608561,50.608561
9,43,77809.000000,77851.733682,42.733682
9,44,77807.000000,77847.434938,40.434938
9,45,77804.000000,77842.180986,38.180986
9,46,77804.000000,77832.929049,28.929049
9,47,77808.000000,77842.635540,34.635540
9,48,77811.000000,77844.141683,33.141683
9,49,77818.000000,77855.404954,37.404954
9,50,77816.000000,77857.450500,41.450500
9,51,77820.000000,77862.593496,42.593496
9,52,77825.000000,77863.964664,38.964664
9,53,77827.000000,77858.801069,31.801069
9,54,77830.000000,77859.499574,29.499574
9,55,77828.000000,77857.459456,29.459456
9,56,77830.000000,77853.804987,23.804987
9,57,77832.000000,77865.942174,33.942174
9,58,77839.000000,77870.816970,31.816970
9,59,77842.000000,77872.340242,30.340242
9,60,77841.000000,77870.027241,29.027241
9,61,77836.000000,77859.914249,23.914249
9,62,77832.000000,77856.363202,24.363202
9,63,77829.000000,77853.484815,24.484815
10,0,77822.000000,77853.484815,31.484815
10,1,77823.000000,77850.488160,27.488160
10,2,77822.000000,77857.051223,35.051223
10,3,77821.000000,77856.149811,35.149811
10,4,77821.000000,77854.172997,33.172997
10,5,77827.000000,77861.000622,34.000622
10,6,77830.000000,77863.208359,33.208359
10,7,77831.000000,77863.031656,32.031656
10,8,77831.000000,77864.965753,33.965753
10,9,77832.000000,77867.609249,35.609249
10,10,77830.000000,77872.579720,42.579720
10,11,77828.000000,77868.015455,40.015455
10,12,77837.000000,77874.018678,37.018678
10,13,77837.000000,77873.721078,36.721078
10,14,77838.000000,77872.443397,34.443397
10,15,77837.000000,77874.718335,37.718335
10,16,77837.000000,77876.309898,39.309898
10,17,77833.000000,77872.361025,39.361025
10,18,77834.000000,77871.884856,37.884856
10,19,77827.000000,77872.558683,45.558683
10,20,77828.000000,77871.477845,43.477845
10,21,77826.000000,77867.438261,41.438261
10,22,77828.000000,77863.633121,35.633121
10,23,77830.000000,77864.464692,34.464692
10,24,77825.000000,77858.225881,33.225881
10,25,77821.000000,77859.221625,38.221625
10,26,77817.000000,77853.779351,36.779351
10,27,77812.000000,77847.383144,35.383144
10,28,77812.000000,77851.924995,39.924995
10,29,77811.000000,77848.025234,37.025234
10,30,77809.000000,77845.001122,36.001122
10,31,77811.000000,77843.485054,32.485054
10,32,77811.000000,77844.618390,33.618390
10,33,77812.000000,77844.564964,32.564964
10,34,77810.000000,77845.663220,35.663220
10,35,77807.000000,77840.993497,33.993497
10,36,77811.000000,77846.490935,35.490935
10,37,77809.000000,77840.254699,31.254699
10,38,77809.000000,77843.450061,34.450061
10,39,77808.000000,77844.682480,36.682480
10,40,77810.000000,77836.965977,26.965977
10,41,77808.000000,77835.745396,27.745396
10,42,77809.000000,77838.032374,29.032374
10,43,77808.000000,77836.766759,28.766759
10,44,77808.000000,77830.091273,22.091273
10,45,77803.000000,77829.716890,26.716890
10,46,77800.000000,77829.235742,29.235742
10,47,77804.000000,77831.526733,27.526733
10,48,77806.000000,77825.895084,19.895084
10,49,77808.000000,77829.335901,21.335901
10,50,77803.000000,77823.408609,20.408609
10,51,77802.000000,77826.772503,24.772503
10,52,77806.000000,77827.404799,21.404799
10,53,77805.000000,77821.091881,16.091881
10,54,77800.000000,77819.984021,19.984021
10,55,77793.000000,77815.443142,22.443142
10,56,77785.000000,77814.862092,29.862092
10,57,77774.000000,77807.908579,33.908579
10,58,77768.000000,77805.229655,37.229655
10,59,77760.000000,77797.165608,37.165608
10,60,77760.000000,77794.453477,34.453477
10,61,77755.000000,77790.470036,35.470036
10,62,77756.000000,77795.156988,39.156988
10,63,77751.000000,77783.160477,32.160477
11,0,77733.000000,77783.160477,50.160477
11,1,77729.000000,77779.531365,50.531365
11,2,77716.000000,77773.293682,57.293682
11,3,77707.000000,77763.390599,56.390599
11,4,77706.000000,77762.751837,56.751837
11,5,77705.000000,77761.348093,56.348093
11,6,77710.000000,77761.217558,51.217558
11,7,77713.000000,77762.823370,49.823370
11,8,77717.000000,77761.410167,44.410167
11,9,77717.000000,77762.194237,45.194237
11,10,77719.000000,77765.529565,46.529565
11,11,77725.000000,77772.025762,47.025762
11,12,77723.000000,77767.487822,44.487822
11,13,77723.000000,77766.479163,43.479163
11,14,77719.000000,77761.464346,42.464346
11,15,77719.000000,77761.097100,42.097100
11,16,77722.000000,77767.202704,45.202704
11,17,77717.000000,77766.229346,49.229346
11,18,77716.000000,77769.886975,53.886975
11,19,77709.000000,77767.444445,58.444445
