window_idx,measurement_idx,measurement_value
23,11,0.287000
23,12,0.994000
23,13,0.287000
23,14,0.420000
23,15,-0.022000
23,16,0.641000
23,17,0.508000
23,18,-0.376000
23,19,0.464000
23,20,0.110000
23,21,0.110000
23,22,0.287000
23,23,0.287000
23,24,0.420000
23,25,-0.994000
23,26,0.287000
23,27,-0.199000
23,28,0.376000
23,29,-0.155000
23,30,0.464000
23,31,-0.287000
24,0,-0.000000
24,1,0.265000
24,2,0.177000
24,3,0.442000
24,4,-1.061000
24,5,0.265000
24,6,-0.354000
24,7,-0.530000
24,8,-6.055000
24,9,0.486000
24,10,-2.166000
24,11,0.044000
24,12,1.193000
24,13,0.044000
24,14,-0.486000
24,15,0.398000
24,16,-0.398000
24,17,0.663000
24,18,-0.751000
24,19,-0.044000
24,20,0.309000
24,21,-0.309000
24,22,-0.044000
24,23,0.619000
24,24,-0.265000
24,25,0.088000
24,26,-0.177000
24,27,-0.000000
24,28,0.088000
24,29,0.795000
24,30,-0.354000
24,31,0.354000
25,0,-0.000000
25,1,0.199000
25,2,-0.376000
25,3,-0.199000
25,4,-0.994000
25,5,0.552000
25,6,-0.597000
25,7,0.066000
25,8,-0.243000
25,9,0.110000
25,10,-2.409000
25,11,-0.376000
25,12,0.287000
25,13,-0.199000
25,14,0.597000
25,15,0.110000
25,16,-0.331000
25,17,-0.155000
25,18,0.685000
25,19,0.464000
25,20,0.243000
25,21,0.950000
25,22,-0.243000
25,23,-0.287000
25,24,0.199000
25,25,0.331000
25,26,0.243000
25,27,0.199000
25,28,-0.685000
25,29,-0.597000
25,30,-0.287000
25,31,-0.597000
26,0,0.000000
26,1,0.177000
26,2,0.442000
26,3,-0.088000
26,4,1.105000
26,5,-0.000000
26,6,-0.221000
26,7,0.442000
26,8,1.326000
26,9,-0.133000
26,10,-2.298000
26,11,0.840000
26,12,-0.884000
26,13,0.133000
26,14,0.265000
26,15,-0.309000
26,16,-0.177000
26,17,1.635000
26,18,-0.265000
26,19,0.707000
26,20,0.133000
26,21,0.663000
26,22,0.177000
26,23,0.398000
26,24,-0.133000
26,25,-0.619000
26,26,-0.133000
26,27,0.044000
26,28,-1.414000
26,29,-2.828000
26,30,-0.663000
26,31,-1.016000
27,0,-0.000000
27,1,0.575000
27,2,0.044000
27,3,-0.663000
27,4,3.270000
27,5,-0.309000
27,6,1.061000
27,7,0.044000
27,8,4.817000
27,9,0.530000
27,10,-2.342000
27,11,-0.265000
27,12,-1.016000
27,13,0.619000
27,14,-1.370000
27,15,0.354000
27,16,-0.000000
27,17,0.221000
27,18,0.442000
27,19,0.354000
27,20,0.133000
27,21,-1.635000
27,22,-0.354000
27,23,0.221000
27,24,0.044000
27,25,-0.354000
27,26,-0.221000
27,27,0.044000
27,28,-0.177000
27,29,1.503000
27,30,0.221000
27,31,0.575000
28,0,0.000000
28,1,0.663000
28,2,-0.044000
28,3,0.398000
28,4,-2.784000
28,5,0.265000
28,6,-0.398000
28,7,0.530000
28,8,-15.512000
28,9,-0.442000
28,10,1.768000
28,11,-0.044000
28,12,-1.282000
28,13,-0.751000
28,14,0.707000
28,15,-0.751000
28,16,-0.177000
28,17,-0.530000
28,18,0.044000
28,19,0.221000
28,20,-0.309000
28,21,-0.884000
28,22,-0.221000
28,23,-0.309000
28,24,-0.398000
28,25,2.873000
28,26,-0.442000
28,27,-0.398000
28,28,0.884000
28,29,1.193000
28,30,0.000000
28,31,-0.530000
29,0,-0.000000
29,1,0.442000
29,2,-0.354000
29,3,-0.354000
29,4,1.061000
29,5,0.751000
29,6,-0.795000
29,7,-0.044000
29,8,-7.336000
29,9,0.398000
29,10,4.640000
29,11,0.177000
29,12,0.354000
29,13,0.442000
29,14,-1.370000
29,15,-0.265000
29,16,-0.309000
29,17,0.751000
29,18,0.530000
29,19,0.354000
29,20,-0.530000
29,21,0.575000
29,22,-0.265000
29,23,0.795000
29,24,0.354000
29,25,-1.679000
29,26,0.486000
29,27,-0.530000
29,28,-0.133000
29,29,1.237000
29,30,-0.133000
29,31,0.133000
30,0,0.000000
30,1,0.950000
30,2,-0.729000
30,3,-0.331000
30,4,0.950000
30,5,-0.199000
30,6,0.331000
30,7,0.243000
30,8,-18.363000
30,9,0.022000
30,10,1.127000
30,11,-0.199000
30,12,0.420000
30,13,-0.155000
30,14,0.376000
30,15,-0.066000
30,16,-0.110000
30,17,-2.011000
