node,scenario,cycle,repeat,idx,name,self,neighbor,expect,t,source
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1636,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1647,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1657,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1667,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1678,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1688,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1698,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1709,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1719,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1719,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1730,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1740,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1750,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1761,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1771,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1781,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1792,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1802,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1802,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1812,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1823,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1833,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1843,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1854,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1864,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1874,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1885,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1885,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1895,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1905,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1916,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1926,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1936,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1947,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1957,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1967,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1968,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1978,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1988,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1999,gateway
1,1,1,5,0,baseline_direct,-49,-53,DIRECT,3602,imu
2,1,1,5,0,baseline_direct,-46,-55,DIRECT,3706,ppg
2,1,1,5,1,forced_relay,-82,-45,RELAY,20000,ppg
3,1,1,5,1,forced_relay,-45,-57,RELAY,20000,gateway
1,1,1,5,1,forced_relay,-85,-42,RELAY,20000,imu
3,1,1,5,2,relay_hold,-83,-39,RELAY,40000,gateway
2,1,1,5,2,relay_hold,-85,-38,RELAY,40000,ppg
1,1,1,5,2,relay_hold,-86,-39,RELAY,40000,imu
3,1,1,5,3,direct_recovery,-51,-62,DIRECT,60000,gateway
2,1,1,5,3,direct_recovery,-47,-63,DIRECT,60000,ppg
1,1,1,5,3,direct_recovery,-86,-39,DIRECT,60000,imu
3,1,2,5,0,baseline_direct,-50,-55,DIRECT,80000,gateway
2,1,2,5,0,baseline_direct,-51,-58,DIRECT,80000,ppg
1,1,2,5,0,baseline_direct,-47,-57,DIRECT,80000,imu
3,1,2,5,1,forced_relay,-79,-41,RELAY,100000,gateway
2,1,2,5,1,forced_relay,-79,-45,RELAY,100000,ppg
1,1,2,5,1,forced_relay,-81,-44,RELAY,100000,imu
2,1,2,5,2,relay_hold,-88,-38,RELAY,120000,ppg
3,1,2,5,2,relay_hold,-88,-41,RELAY,120000,gateway
1,1,2,5,2,relay_hold,-88,-43,RELAY,120000,imu
2,1,2,5,3,direct_recovery,-88,-38,DIRECT,140000,ppg
3,1,2,5,3,direct_recovery,-50,-60,DIRECT,140000,gateway
1,1,2,5,3,direct_recovery,-51,-60,DIRECT,140000,imu
2,1,3,5,0,baseline_direct,-51,-57,DIRECT,160000,ppg
3,1,3,5,0,baseline_direct,-50,-53,DIRECT,160000,gateway
1,1,3,5,0,baseline_direct,-49,-54,DIRECT,160000,imu
2,1,3,5,1,forced_relay,-85,-42,RELAY,180000,ppg
3,1,3,5,1,forced_relay,-80,-43,RELAY,180000,gateway
1,1,3,5,1,forced_relay,-49,-54,RELAY,180000,imu
2,1,3,5,2,relay_hold,-85,-44,RELAY,200000,ppg
3,1,3,5,2,relay_hold,-87,-43,RELAY,200000,gateway
1,1,3,5,2,relay_hold,-80,-41,RELAY,200000,imu
2,1,3,5,3,direct_recovery,-47,-60,DIRECT,220000,ppg
3,1,3,5,3,direct_recovery,-48,-64,DIRECT,220000,gateway
1,1,3,5,3,direct_recovery,-50,-65,DIRECT,220000,imu
