window_idx,axis,measurement_idx,measurement_value
4,gy,19,-0.053000
4,gy,20,0.417000
4,gy,21,-0.184000
4,gy,22,0.019000
4,gy,23,0.163000
4,gy,24,0.246000
4,gy,25,-0.733000
4,gy,26,-0.035000
4,gy,27,-0.022000
4,gy,28,0.003000
4,gy,29,0.632000
4,gy,30,-0.079000
4,gy,31,0.214000
4,gz,0,0.000000
4,gz,1,0.128000
4,gz,2,-0.136000
4,gz,3,0.197000
4,gz,4,-1.600000
4,gz,5,-0.178000
4,gz,6,0.418000
4,gz,7,-0.404000
4,gz,8,-0.997000
4,gz,9,0.170000
4,gz,10,1.017000
4,gz,11,0.103000
4,gz,12,0.529000
4,gz,13,-0.448000
4,gz,14,0.989000
4,gz,15,0.641000
4,gz,16,0.005000
4,gz,17,0.325000
4,gz,18,-0.429000
4,gz,19,0.133000
4,gz,20,-0.867000
4,gz,21,-1.498000
4,gz,22,-0.071000
4,gz,23,0.021000
4,gz,24,-0.112000
4,gz,25,-0.924000
4,gz,26,-0.368000
4,gz,27,0.007000
4,gz,28,-0.086000
4,gz,29,-0.485000
4,gz,30,0.329000
4,gz,31,-0.187000
5,ax,0,0.000000
5,ax,1,0.007000
5,ax,2,-0.023000
5,ax,3,-0.003000
5,ax,4,0.028000
5,ax,5,-0.006000
5,ax,6,0.006000
5,ax,7,-0.003000
5,ax,8,0.113000
5,ax,9,-0.001000
5,ax,10,0.013000
5,ax,11,0.017000
5,ax,12,-0.003000
5,ax,13,0.011000
5,ax,14,-0.024000
5,ax,15,0.003000
5,ax,16,-0.015000
5,ax,17,0.003000
5,ax,18,-0.015000
5,ax,19,0.003000
5,ax,20,-0.021000
5,ax,21,-0.027000
5,ax,22,0.000000
5,ax,23,-0.009000
5,ax,24,-0.005000
5,ax,25,-0.027000
5,ax,26,-0.007000
5,ax,27,-0.002000
5,ax,28,0.052000
5,ax,29,0.023000
5,ax,30,0.002000
5,ax,31,0.001000
5,ay,0,-0.000000
5,ay,1,0.015000
5,ay,2,0.004000
5,ay,3,-0.008000
5,ay,4,-0.009000
5,ay,5,-0.030000
5,ay,6,0.069000
5,ay,7,-0.018000
5,ay,8,-0.150000
5,ay,9,0.005000
5,ay,10,0.022000
5,ay,11,0.002000
5,ay,12,0.045000
5,ay,13,-0.029000
5,ay,14,0.021000
5,ay,15,-0.014000
5,ay,16,-0.034000
5,ay,17,0.128000
5,ay,18,0.030000
5,ay,19,-0.012000
5,ay,20,-0.092000
5,ay,21,-0.166000
5,ay,22,-0.023000
5,ay,23,-0.000000
5,ay,24,0.051000
5,ay,25,-0.011000
5,ay,26,0.014000
5,ay,27,0.001000
5,ay,28,0.006000
5,ay,29,-0.010000
5,ay,30,0.009000
5,ay,31,-0.023000
5,az,0,-0.000000
5,az,1,0.002000
5,az,2,-0.002000
5,az,3,-0.009000
5,az,4,-0.011000
5,az,5,-0.012000
5,az,6,0.015000
5,az,7,-0.022000
5,az,8,-0.117000
5,az,9,-0.023000
5,az,10,-0.004000
5,az,11,-0.007000
5,az,12,0.001000
5,az,13,0.020000
5,az,14,-0.018000
5,az,15,0.011000
5,az,16,-0.015000
5,az,17,0.126000
5,az,18,0.007000
5,az,19,0.043000
5,az,20,-0.001000
5,az,21,-0.039000
5,az,22,-0.014000
5,az,23,0.016000
5,az,24,0.012000
5,az,25,0.012000
5,az,26,-0.004000
5,az,27,0.008000
5,az,28,-0.014000
5,az,29,-0.017000
5,az,30,0.005000
5,az,31,-0.017000
5,gx,0,-0.000000
5,gx,1,-0.198000
5,gx,2,-0.048000
5,gx,3,-0.313000
5,gx,4,1.889000
5,gx,5,0.105000
5,gx,6,-0.189000
5,gx,7,0.172000
5,gx,8,3.241000
5,gx,9,0.119000
5,gx,10,-0.371000
5,gx,11,-0.144000
5,gx,12,0.151000
5,gx,13,0.066000
5,gx,14,-0.147000
5,gx,15,0.131000
5,gx,16,0.338000
5,gx,17,-2.101000
5,gx,18,0.313000
5,gx,19,-0.280000
5,gx,20,0.080000
5,gx,21,0.008000
5,gx,22,-0.137000
5,gx,23,0.159000
5,gx,24,0.058000
5,gx,25,0.276000
5,gx,26,0.404000
5,gx,27,-0.000000
5,gx,28,-0.109000
5,gx,29,0.611000
5,gx,30,0.265000
5,gx,31,0.222000
5,gy,0,-0.000000
5,gy,1,0.083000
5,gy,2,-0.034000
5,gy,3,-0.142000
5,gy,4,0.800000
5,gy,5,0.160000
5,gy,6,-0.390000
5,gy,7,0.104000
5,gy,8,0.626000
5,gy,9,-0.076000
5,gy,10,0.951000
5,gy,11,0.127000
5,gy,12,-0.103000
5,gy,13,0.207000
5,gy,14,-0.439000
5,gy,15,0.262000
5,gy,16,0.011000
5,gy,17,0.118000
5,gy,18,-0.758000
5,gy,19,0.097000
5,gy,20,0.067000
5,gy,21,-0.413000
5,gy,22,-0.145000
5,gy,23,0.238000
5,gy,24,0.132000
5,gy,25,-1.747000
5,gy,26,-0.392000
5,gy,27,-0.114000
5,gy,28,0.205000
5,gy,29,1.127000
5,gy,30,0.133000
5,gy,31,0.276000
5,gz,0,0.000000
5,gz,1,0.020000
5,gz,2,-0.022000
5,gz,3,-0.195000
5,gz,4,0.818000
5,gz,5,-0.445000
5,gz,6,1.028000
5,gz,7,0.020000
5,gz,8,-0.305000
5,gz,9,0.001000
5,gz,10,-1.987000
5,gz,11,-0.119000
5,gz,12,-0.123000
5,gz,13,-0.231000
5,gz,14,0.631000
5,gz,15,0.033000
5,gz,16,-0.003000
5,gz,17,0.388000
5,gz,18,0.227000
5,gz,19,0.209000
5,gz,20,-0.688000
5,gz,21,-1.708000
5,gz,22,0.083000
5,gz,23,-0.297000
5,gz,24,-0.253000
5,gz,25,2.571000
5,gz,26,0.569000
5,gz,27,-0.431000
5,gz,28,0.803000
5,gz,29,2.344000
5,gz,30,0.394000
5,gz,31,0.313000
6,ax,0,0.000000
6,ax,1,-0.004000
6,ax,2,0.004000
6,ax,3,-0.037000
6,ax,4,0.124000
6,ax,5,0.006000
6,ax,6,0.034000
6,ax,7,0.004000
6,ax,8,-0.031000
6,ax,9,-0.022000
6,ax,10,0.031000
6,ax,11,0.030000
6,ax,12,0.014000
6,ax,13,-0.002000
6,ax,14,0.010000
6,ax,15,0.017000
6,ax,16,-0.006000
6,ax,17,0.022000
6,ax,18,-0.032000
6,ax,19,0.030000
6,ax,20,-0.037000
6,ax,21,-0.072000
6,ax,22,0.011000
6,ax,23,0.016000
6,ax,24,0.015000
6,ax,25,-0.052000
6,ax,26,-0.005000
6,ax,27,0.031000
6,ax,28,-0.022000
6,ax,29,-0.012000
6,ax,30,0.015000
6,ax,31,0.019000
6,ay,0,0.000000
6,ay,1,-0.006000
6,ay,2,0.004000
6,ay,3,0.001000
6,ay,4,0.077000
6,ay,5,0.033000
6,ay,6,-0.028000
6,ay,7,0.006000
6,ay,8,0.092000
6,ay,9,-0.022000
6,ay,10,0.045000
6,ay,11,0.022000
6,ay,12,-0.042000
6,ay,13,0.018000
6,ay,14,-0.023000
6,ay,15,0.002000
6,ay,16,-0.024000
6,ay,17,0.059000
6,ay,18,-0.033000
6,ay,19,0.025000
6,ay,20,-0.019000
6,ay,21,-0.001000
6,ay,22,-0.005000
6,ay,23,0.025000
6,ay,24,-0.007000
6,ay,25,-0.112000
6,ay,26,-0.023000
6,ay,27,0.013000
6,ay,28,-0.006000
6,ay,29,0.039000
6,ay,30,0.006000
6,ay,31,0.016000
6,az,0,0.000000
6,az,1,0.018000
6,az,2,0.012000
