route,node,scenario,cycle,phase_idx,seq,latency_ms,raw_bytes,cs_bytes,pkt_bytes,topic,payload,source
DIRECT,1,1,2,1,32,74,256,128,146,health_monitor/node_1/cs_ppg,"{""ts"":97093,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,2.0000,0.0000,32.0000,-47.0000,-57.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
RELAYED,1,1,2,2,33,79,256,128,154,health_monitor/node_1/cs_ppg,"{""ts"":100107,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,2.0000,1.0000,33.0000,-81.0000,-44.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,1,1,2,2,34,80,256,128,154,health_monitor/node_1/cs_ppg,"{""ts"":103120,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,2.0000,1.0000,34.0000,-81.0000,-44.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,1,1,2,2,35,77,256,128,154,health_monitor/node_1/cs_ppg,"{""ts"":106135,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,2.0000,1.0000,35.0000,-81.0000,-44.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,1,1,2,2,36,77,256,128,154,health_monitor/node_1/cs_ppg,"{""ts"":109148,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,2.0000,1.0000,36.0000,-81.0000,-44.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,1,1,2,2,37,88,256,128,154,health_monitor/node_1/cs_ppg,"{""ts"":112161,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,2.0000,1.0000,37.0000,-81.0000,-44.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,1,1,2,2,38,85,256,128,154,health_monitor/node_1/cs_ppg,"{""ts"":115179,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,2.0000,1.0000,38.0000,-81.0000,-44.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,1,1,2,2,39,79,256,128,154,health_monitor/node_1/cs_ppg,"{""ts"":118196,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,2.0000,1.0000,39.0000,-81.0000,-44.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,1,1,2,3,40,76,256,128,154,health_monitor/node_1/cs_ppg,"{""ts"":121220,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,2.0000,2.0000,40.0000,-88.0000,-43.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,1,1,2,3,41,81,256,128,154,health_monitor/node_1/cs_ppg,"{""ts"":124233,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,2.0000,2.0000,41.0000,-88.0000,-43.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,1,1,2,3,42,78,256,128,154,health_monitor/node_1/cs_ppg,"{""ts"":127246,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,2.0000,2.0000,42.0000,-88.0000,-43.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
